x: -0.082183837890625, y: 0.121749877929688, z: -0.97967529296875, 
x: -0.0831451416015625, y: 0.120330810546875, z: -0.987579345703125, 
x: -0.0914764404296875, y: 0.128250122070312, z: -0.991470336914062, 
x: -0.09149169921875, y: 0.136566162109375, z: -0.986480712890625, 
x: -0.08807373046875, y: 0.143386840820312, z: -0.976089477539062, 
x: -0.0827178955078125, y: 0.152664184570312, z: -0.9661865234375, 
x: -0.07684326171875, y: 0.167938232421875, z: -0.971038818359375, 
x: -0.0734100341796875, y: 0.175857543945312, z: -0.976425170898438, 
x: -0.074371337890625, y: 0.16461181640625, z: -0.986358642578125, 
x: -0.0817108154296875, y: 0.152801513671875, z: -0.985916137695312, 
x: -0.08367919921875, y: 0.151763916015625, z: -0.97802734375, 
x: -0.0841522216796875, y: 0.152847290039062, z: -0.992324829101562, 
x: -0.08367919921875, y: 0.159149169921875, z: -0.978973388671875, 
x: -0.0919952392578125, y: 0.1661376953125, z: -0.99273681640625, 
